# 日语→中文 翻译词典
# 格式: 日文原文,中文翻译
# 注意: 替换是基于子串匹配的，长的/精确的词条要放在前面
キャンセル,取消
続行,继续
再試行,重试
切断,断开
接続済み,已连接
切断済み,已断开
接続,连接
削除,删除
参照,浏览
無視,忽略
破棄,放弃
保持,保留
詳細,高级
全般,常规
オプション,选项
設定,设置
変更,更改
追加,添加
閉じる,关闭
完了,完成
ヘルプ,帮助
戻る,上一步
次へ,下一步
インストール,安装
アップグレードしない,不升级
アップグレード,升级
再起動,重新启动
リセット,重置
シャットダウン,关机
サスペンド,挂起
パワーオフ,关闭电源
パワーオン,打开电源
レジューム,恢复
復元,还原
保存,保存
作成,创建
取得,获取
許可,允许
拒否,拒绝
記憶,记住
エラー,错误
警告,警告
情報,信息
不明,未知
はい,是
いいえ,否
なし,无
すべて,全部
停止,停止
バックグラウンド,后台
フォアグラウンド,前台
ダウンロード,下载
アップロード,上传
エクスポート,导出
インポート,导入
クローン,克隆
スナップショット,快照
仮想マシン,虚拟机
仮想ディスク,虚拟磁盘
仮想ネットワーク,虚拟网络
ゲスト OS,客户机操作系统
ホスト OS,主机操作系统
ホスト,主机
構成ファイル,配置文件
構成,配置
ディスク,磁盘
メモリ,内存
プロセッサ,处理器
ネットワーク,网络
デバイス,设备
ドライバ,驱动程序
フォルダ,文件夹
ディレクトリ,目录
パス,路径
ユーザー,用户
パスワード,密码
ライセンス,许可证
レジストリ,注册表
サポート,支持
マニュアル,手册
ドキュメント,文档
サーバ,服务器
クライアント,客户端
セッション,会话
ステータス,状态
プロパティ,属性
バージョン,版本
ツール,工具
パッケージ,软件包
イメージ,映像
有効,启用
無効,禁用
常時,始终
自動,自动
手動,手动
デフォルト,默认
カスタム,自定义
推奨,推荐
最小,最小
最大,最大
ビット,位
パーティション,分区
コントローラ,控制器
アダプタ,适配器
シリアル ポート,串行端口
パラレル ポート,并行端口
サウンド カード,声卡
ネットワーク アダプタ,网络适配器
フロッピー,软盘
プリンタ,打印机
スマート カード,智能卡
暗号化,加密
復号化,解密
アクセス,访问
権限,权限
管理者,管理员
システム,系统
アプリケーション,应用程序
プロセス,进程
サービス,服务
イベント,事件
ログ,日志
メッセージ,消息
レポート,报告
結果,结果
操作,操作
処理,处理
実行,执行
初期化,初始化
開始,开始
終了,结束
完了しました,已完成
失敗,失败
成功,成功
実行中,正在运行
コピーしています,正在复制
確認,确认
同意,同意
同意しない,不同意
使用中,使用中
利用できません,不可用
ありません,没有
あり,有
不足,不足
領域,空间
空き領域,可用空间
解放,释放
接続中,连接中
待機中,等待中
一時停止,暂停
排他モード,独占模式
所有権,所有权
チーム,团队
変換,转换
移行,迁移
統合,整合
圧縮,压缩
拡張,扩展
割り当て,分配
割り込み,中断
タイムアウト,超时
スロット,插槽
ソケット,套接字
ポート,端口
バス,总线
パイプ,管道
スレッド,线程
バッファ,缓冲区
キャッシュ,缓存
セクタ,扇区
クラスタ,集群
